Reported_Date_Surrogate_Key,Reported_Date_Key,Day,Month,Year,Day_of_Week,Week_of_Year,Weekend,Holiday,Season,Date_Full_Format
288,23012021,23,1,2021,Saturday,3,Y,N,Winter,2021-01-23
289,24012021,24,1,2021,Sunday,3,Y,N,Winter,2021-01-24
290,25012021,25,1,2021,Monday,4,N,N,Winter,2021-01-25
291,26012021,26,1,2021,Tuesday,4,N,N,Winter,2021-01-26
292,27012021,27,1,2021,Wednesday,4,N,N,Winter,2021-01-27
293,28012021,28,1,2021,Thursday,4,N,N,Winter,2021-01-28
294,29012021,29,1,2021,Friday,4,N,N,Winter,2021-01-29
295,30012021,30,1,2021,Saturday,4,Y,N,Winter,2021-01-30
296,31012021,31,1,2021,Sunday,4,Y,N,Winter,2021-01-31
297,1022021,1,2,2021,Monday,5,N,N,Winter,2021-02-01
298,2022021,2,2,2021,Tuesday,5,N,N,Winter,2021-02-02
299,3022021,3,2,2021,Wednesday,5,N,N,Winter,2021-02-03
300,4022021,4,2,2021,Thursday,5,N,N,Winter,2021-02-04
301,5022021,5,2,2021,Friday,5,N,N,Winter,2021-02-05
302,6022021,6,2,2021,Saturday,5,Y,N,Winter,2021-02-06
303,7022021,7,2,2021,Sunday,5,Y,N,Winter,2021-02-07
304,8022021,8,2,2021,Monday,6,N,N,Winter,2021-02-08
305,9022021,9,2,2021,Tuesday,6,N,N,Winter,2021-02-09
306,10022021,10,2,2021,Wednesday,6,N,N,Winter,2021-02-10
307,11022021,11,2,2021,Thursday,6,N,N,Winter,2021-02-11
308,12022021,12,2,2021,Friday,6,N,N,Winter,2021-02-12
309,13022021,13,2,2021,Saturday,6,Y,N,Winter,2021-02-13
310,14022021,14,2,2021,Sunday,6,Y,Y,Winter,2021-02-14
311,15022021,15,2,2021,Monday,7,N,Y,Winter,2021-02-15
312,16022021,16,2,2021,Tuesday,7,N,N,Winter,2021-02-16
313,17022021,17,2,2021,Wednesday,7,N,N,Winter,2021-02-17
314,18022021,18,2,2021,Thursday,7,N,N,Winter,2021-02-18
315,19022021,19,2,2021,Friday,7,N,N,Winter,2021-02-19
316,20022021,20,2,2021,Saturday,7,Y,N,Winter,2021-02-20
317,21022021,21,2,2021,Sunday,7,Y,N,Winter,2021-02-21
318,22022021,22,2,2021,Monday,8,N,N,Winter,2021-02-22
319,23022021,23,2,2021,Tuesday,8,N,N,Winter,2021-02-23
320,24022021,24,2,2021,Wednesday,8,N,N,Winter,2021-02-24
321,25022021,25,2,2021,Thursday,8,N,N,Winter,2021-02-25
322,26022021,26,2,2021,Friday,8,N,N,Winter,2021-02-26
323,27022021,27,2,2021,Saturday,8,Y,N,Winter,2021-02-27
